Name of the API      ,QTY  (mg),Polymer,Polymer Qty,Diluent,Diluent Qty,Binder,Binder Qty,Lubricant,Lubricant Qty,Glidant,Glidant Qty,Total Weight,Thickness,Hardness,Friability,Disintegration time
Rosuvastatin Calcium,10,Crosspovidone,2,Mannitol,181.75,MCC,5.0,Magnesium stearate,0.25,Talc,1,200,2.4,3.0,0.169,15
Rosuvastatin Calcium,10,Crosspovidone,3,Mannitol,179.5,MCC,5.0,Magnesium stearate,0.5,Talc,2,200,2.4,3.0,0.185,15
Rosuvastatin Calcium,10,Crosspovidone,4,Mannitol,177.0,MCC,5.0,Magnesium stearate,1.0,Talc,3,200,2.4,3.2,0.214,13
Rosuvastatin Calcium,10,Crosspovidone,2,Mannitol,179.25,MCC,7.5,Magnesium stearate,0.25,Talc,1,200,2.6,3.2,0.216,12
Rosuvastatin Calcium,10,Crosspovidone,3,Mannitol,177.0,MCC,7.5,Magnesium stearate,0.5,Talc,2,200,2.6,3.4,0.231,12
Rosuvastatin Calcium,10,Crosspovidone,4,Mannitol,174.5,MCC,7.5,Magnesium stearate,1.0,Talc,3,200,2.6,3.8,0.254,13
Rosuvastatin Calcium,10,Crosspovidone,2,Mannitol,176.75,MCC,10.0,Magnesium stearate,0.25,Talc,1,200,2.4,4.2,0.258,14
Rosuvastatin Calcium,10,Crosspovidone,3,Mannitol,174.5,MCC,10.0,Magnesium stearate,0.5,Talc,2,200,2.6,4.0,0.265,11
Rosuvastatin Calcium,10,Crosspovidone,4,Mannitol,172.0,MCC,10.0,Magnesium stearate,1.0,Talc,3,200,2.4,4.2,0.269,12
Rosuvastatin Calcium,10,Crosspovidone,2,Mannitol,174.25,MCC,12.5,Magnesium stearate,0.25,Talc,1,200,2.4,4.4,0.342,11
Rosuvastatin Calcium,10,Crosspovidone,3,Mannitol,172.0,MCC,12.5,Magnesium stearate,0.5,Talc,2,200,2.8,4.4,0.358,10
Rosuvastatin Calcium,10,Crosspovidone,4,Mannitol,169.5,MCC,12.5,Magnesium stearate,1.0,Talc,3,200,2.6,4.6,0.366,11
Rosuvastatin Calcium,10,Crosspovidone,2,Mannitol,171.75,MCC,15.0,Magnesium stearate,0.25,Talc,1,200,2.4,4.6,0.387,10
Rosuvastatin Calcium,10,Crosspovidone,3,Mannitol,169.5,MCC,15.0,Magnesium stearate,0.5,Talc,2,200,2.4,4.8,0.387,10
Rosuvastatin Calcium,10,Crosspovidone,4,Mannitol,167.0,MCC,15.0,Magnesium stearate,1.0,Talc,3,200,2.8,4.8,0.387,8
Rosuvastatin Calcium,10,Crosspovidone,2,Mannitol,169.25,MCC,17.5,Magnesium stearate,0.25,Talc,1,200,2.8,5.2,0.387,8
Rosuvastatin Calcium,10,Crosspovidone,3,Mannitol,167.0,MCC,17.5,Magnesium stearate,0.5,Talc,2,200,3.0,5.0,0.388,9
Rosuvastatin Calcium,10,Crosspovidone,4,Mannitol,164.75,MCC,17.5,Magnesium stearate,0.75,Talc,3,200,3.0,5.4,0.418,8
Rosuvastatin Calcium,10,Crosspovidone,2,Mannitol,168.75,MCC,17.5,Magnesium stearate,0.75,Talc,1,200,2.8,5.6,0.425,8
Rosuvastatin Calcium,10,Crosspovidone,4,Mannitol,162.0,MCC,20.0,Magnesium stearate,1.0,Talc,1,200,2.8,5.4,0.431,9
Rosuvastatin Calcium,10,Crosspovidone,2,Mannitol,166.75,MCC,20.0,Magnesium stearate,0.25,Talc,2,200,3.0,5.6,0.478,10
Rosuvastatin Calcium,10,Crosspovidone,3,Mannitol,164.5,MCC,20.0,Magnesium stearate,0.5,Talc,3,200,3.0,5.6,0.478,7
Rosuvastatin Calcium,10,Crosspovidone,3,Mannitol,164.25,MCC,20.0,Magnesium stearate,0.75,Talc,2,200,2.8,5.6,0.489,8
